Date,ADANIPORTS,ASIANPAINT,AXISBANK,BAJAJ-AUTO,BAJAJFINSV,BAJFINANCE,BHARTIARTL,BPCL,BRITANNIA,CIPLA,COALINDIA,DRREDDY,EICHERMOT,GAIL,GRASIM,HCLTECH,HDFC,HDFCBANK,HEROMOTOCO,HINDALCO,HINDUNILVR,ICICIBANK,INDUSINDBK,INFRATEL,INFY
2012-12-28,134.24,4392.5,1359.68,2138.95,909.86,1349.75,319.63,356.82,494.25,418.69,353.64,1828.17,2788.42,350.78,3161.52,627.96,833.69,678.47,1893.99,130.85,521.43,1138.64,418.96,195.06,2317.42
2013-02-15,148.1,4548.99,1437.9,1974.1,757.65,1287.25,312.39,381.28,489.09,380.29,349.05,1830.72,2667.96,337.12,3045.97,697.72,815.37,678.64,1663.81,111.07,464.43,1122.13,439.08,187.69,2792.6
2013-04-09,146.95,4579.47,1219.62,1703.31,757.86,1162.92,277.83,378.84,521.21,397.18,310.8,1918.93,2715.65,318.07,2757.13,750.17,766.2,623.67,1481.87,92.66,475.34,1002.23,396.6,178.62,2790.08
2013-05-30,155.34,4888.06,1438.71,1831.27,669.87,1470.24,313.36,382.03,694.96,389.3,327.61,2110.08,3775.81,321.17,2927.55,745.96,924.21,723.38,1764.38,109.04,596.06,1184.75,525.09,170.79,2338.54
2013-07-18,148.77,5137.59,1199.43,1904.27,636.55,1382.3,322.26,345.18,711.82,414.35,290.3,2340.53,3921.23,325.59,2794.23,862.69,822.44,670.96,1703.55,105.41,691.93,972.99,462.21,156.47,2798.55
2013-09-10,129.89,441.68,1005.73,1972.59,589.33,1144.89,331.65,298.84,740.95,442.93,287.56,2270.32,3297.92,302.69,2426.09,1057.22,807.78,634.17,2029.04,110.07,645.58,973.5,420.53,147.08,3114.0
2013-10-31,145.98,538.16,1216.33,2134.74,636.09,1331.51,366.72,361.69,944.88,415.25,287.28,2484.94,3953.0,350.89,2814.21,1099.21,853.07,680.37,2077.93,115.25,610.31,1108.95,446.91,159.86,3314.49
2013-12-20,164.79,488.88,1271.7,1910.14,719.72,1490.12,324.66,340.27,884.71,402.86,284.66,2485.53,5036.85,339.77,2619.51,1243.44,791.75,659.53,2118.51,120.4,564.83,1080.73,424.53,176.84,3541.24
2014-02-10,148.55,489.17,1128.22,1930.26,685.88,1488.64,310.69,355.42,912.28,420.16,270.87,2670.87,4453.53,351.74,2564.18,1416.62,772.76,644.35,1999.9,108.06,567.33,964.01,389.33,167.15,3573.73
2014-04-01,187.74,536.34,1466.34,2062.49,792.03,1782.39,316.79,453.16,844.48,383.12,285.95,2590.24,6016.75,375.68,2867.98,1418.47,880.86,740.97,2257.36,139.2,601.09,1232.68,499.46,204.87,3310.76
2014-05-27,216.78,525.06,1846.22,1970.75,908.9,2005.75,336.2,552.06,853.82,380.95,396.15,2313.14,7127.05,383.46,3090.06,1398.74,919.2,801.46,2312.7,148.87,561.04,1442.05,552.52,234.49,3140.41
2014-07-15,261.55,584.35,1879.54,2157.82,928.23,2197.35,333.96,577.49,994.59,431.68,364.13,2641.8,8388.11,462.04,3219.26,1462.1,979.91,823.93,2425.82,173.7,621.9,1382.37,539.65,264.42,3231.17
2014-09-05,291.16,645.35,417.31,2321.94,1106.36,2436.55,401.9,692.48,1267.08,554.67,372.38,2978.99,10925.73,453.3,3583.65,1664.87,1060.25,849.55,2779.69,170.4,736.98,1554.67,613.95,282.06,3740.46
2014-10-31,283.46,656.87,438.31,2599.82,1073.65,2805.94,402.13,719.16,1528.04,659.71,369.08,3136.92,12751.5,534.96,3488.11,1609.92,1098.3,911.13,3076.12,163.59,734.01,1618.09,716.51,293.5,4030.31
2014-12-23,292.69,741.42,501.19,2509.94,1323.47,3436.39,355.86,656.14,1789.36,624.1,386.49,3218.03,14798.19,447.95,3467.11,1555.7,1142.58,965.96,3138.34,154.34,767.06,357.66,784.65,338.37,1989.42
2015-02-12,335.91,831.58,572.47,2272.26,1477.27,4122.07,352.48,711.83,1951.42,655.5,369.7,3283.3,16364.56,417.44,3842.28,1978.32,1250.26,1065.91,2800.96,153.03,895.64,335.11,859.1,358.17,2302.63
2015-04-07,322.59,831.5,562.78,2082.79,1438.3,4257.33,401.68,796.18,2264.63,732.06,360.7,3675.99,15872.64,402.04,3733.78,941.52,1327.31,1031.58,2636.87,136.92,910.65,319.25,909.62,383.0,2161.92
2015-05-28,330.49,767.23,577.83,2302.01,1545.38,4403.6,404.82,813.73,2643.97,647.14,384.16,3534.92,18038.69,380.82,3518.51,976.22,1223.99,1030.66,2628.56,132.79,850.36,314.86,858.21,432.92,2001.26
2015-07-16,326.86,849.39,605.5,2549.32,1761.6,5246.36,424.94,936.81,2844.45,674.84,439.97,3842.53,21009.76,373.91,3676.8,955.46,1360.78,1111.59,2653.33,106.93,932.98,317.71,930.93,453.52,988.36
2015-09-03,341.11,823.35,481.11,2245.14,1838.68,5192.44,347.7,842.17,3042.96,659.19,345.79,4219.42,18461.26,293.56,3415.87,958.96,1161.1,1009.12,2336.35,77.64,829.91,268.29,841.37,407.69,1101.92
